Numer of labeled samples:23591   AUC:0.791
Numer of labeled samples:32908   AUC:0.817
Numer of labeled samples:33269   AUC:0.901
Numer of labeled samples:34524   AUC:0.904
Numer of labeled samples:33712   AUC:0.907
Numer of labeled samples:33977   AUC:0.897
Numer of labeled samples:34740   AUC:0.923
Numer of labeled samples:34039   AUC:0.915
Numer of labeled samples:35805   AUC:0.930
Numer of labeled samples:35373   AUC:0.930
Numer of labeled samples:35163   AUC:0.930
Numer of labeled samples:35127   AUC:0.944
Numer of labeled samples:35389   AUC:0.928
Numer of labeled samples:34994   AUC:0.936
Numer of labeled samples:35524   AUC:0.927
Numer of labeled samples:35244   AUC:0.927
Numer of labeled samples:35919   AUC:0.930
Numer of labeled samples:35918   AUC:0.903
Numer of labeled samples:35904   AUC:0.920
Numer of labeled samples:35735   AUC:0.943
Numer of labeled samples:36255   AUC:0.930
Numer of labeled samples:35782   AUC:0.918
Numer of labeled samples:36530   AUC:0.927
Numer of labeled samples:35910   AUC:0.933
Numer of labeled samples:36109   AUC:0.942
Numer of labeled samples:36539   AUC:0.949
Numer of labeled samples:36444   AUC:0.943
Numer of labeled samples:36201   AUC:0.938
Numer of labeled samples:36529   AUC:0.940
Numer of labeled samples:36385   AUC:0.944
Numer of labeled samples:36520   AUC:0.947
Numer of labeled samples:36887   AUC:0.943
Numer of labeled samples:36575   AUC:0.945
Numer of labeled samples:36339   AUC:0.946
Numer of labeled samples:36924   AUC:0.947
Numer of labeled samples:36364   AUC:0.940
Numer of labeled samples:37102   AUC:0.948
Numer of labeled samples:36434   AUC:0.944
Numer of labeled samples:37201   AUC:0.942
Numer of labeled samples:36697   AUC:0.948
Numer of labeled samples:36985   AUC:0.951
Numer of labeled samples:36788   AUC:0.948
Numer of labeled samples:36810   AUC:0.955
Numer of labeled samples:37243   AUC:0.950
Numer of labeled samples:37689   AUC:0.949
Numer of labeled samples:37005   AUC:0.956
Numer of labeled samples:37468   AUC:0.957
Numer of labeled samples:36701   AUC:0.945
Numer of labeled samples:37204   AUC:0.952
Numer of labeled samples:37031   AUC:0.957
Numer of labeled samples:37106   AUC:0.961
Numer of labeled samples:36898   AUC:0.944
Numer of labeled samples:37819   AUC:0.956
Numer of labeled samples:37134   AUC:0.946
Numer of labeled samples:37147   AUC:0.952
Numer of labeled samples:37609   AUC:0.960
Numer of labeled samples:37548   AUC:0.951
Numer of labeled samples:37150   AUC:0.950
Numer of labeled samples:37626   AUC:0.950
