Numer of labeled samples:23667   AUC:0.796
Numer of labeled samples:32378   AUC:0.820
Numer of labeled samples:34228   AUC:0.909
Numer of labeled samples:34218   AUC:0.890
Numer of labeled samples:34734   AUC:0.895
Numer of labeled samples:34051   AUC:0.886
Numer of labeled samples:34468   AUC:0.892
Numer of labeled samples:34363   AUC:0.887
Numer of labeled samples:34810   AUC:0.920
Numer of labeled samples:35505   AUC:0.896
Numer of labeled samples:35170   AUC:0.903
Numer of labeled samples:35806   AUC:0.921
Numer of labeled samples:36073   AUC:0.928
Numer of labeled samples:34838   AUC:0.913
Numer of labeled samples:36468   AUC:0.929
Numer of labeled samples:35627   AUC:0.936
Numer of labeled samples:35661   AUC:0.916
Numer of labeled samples:35546   AUC:0.927
Numer of labeled samples:35557   AUC:0.926
Numer of labeled samples:35842   AUC:0.901
Numer of labeled samples:36480   AUC:0.924
Numer of labeled samples:35908   AUC:0.935
Numer of labeled samples:36481   AUC:0.909
Numer of labeled samples:36488   AUC:0.921
Numer of labeled samples:37099   AUC:0.928
Numer of labeled samples:36158   AUC:0.910
Numer of labeled samples:36469   AUC:0.925
Numer of labeled samples:36290   AUC:0.915
Numer of labeled samples:37037   AUC:0.928
Numer of labeled samples:36332   AUC:0.928
Numer of labeled samples:36582   AUC:0.918
Numer of labeled samples:36598   AUC:0.919
Numer of labeled samples:36357   AUC:0.930
Numer of labeled samples:36509   AUC:0.923
Numer of labeled samples:36553   AUC:0.932
Numer of labeled samples:36282   AUC:0.928
Numer of labeled samples:35547   AUC:0.922
Numer of labeled samples:36047   AUC:0.926
Numer of labeled samples:36631   AUC:0.932
Numer of labeled samples:35728   AUC:0.924
Numer of labeled samples:36108   AUC:0.931
Numer of labeled samples:36116   AUC:0.933
Numer of labeled samples:35936   AUC:0.940
Numer of labeled samples:36020   AUC:0.934
Numer of labeled samples:35757   AUC:0.936
Numer of labeled samples:35608   AUC:0.937
Numer of labeled samples:35643   AUC:0.936
Numer of labeled samples:35774   AUC:0.938
Numer of labeled samples:35849   AUC:0.933
Numer of labeled samples:35391   AUC:0.938
Numer of labeled samples:36176   AUC:0.942
Numer of labeled samples:36339   AUC:0.935
Numer of labeled samples:35706   AUC:0.933
Numer of labeled samples:35723   AUC:0.941
