Numer of labeled samples:9518   AUC:0.866
Numer of labeled samples:8108   AUC:0.850
Numer of labeled samples:18763   AUC:0.876
Numer of labeled samples:19889   AUC:0.888
Numer of labeled samples:22793   AUC:0.894
Numer of labeled samples:22352   AUC:0.886
Numer of labeled samples:23900   AUC:0.900
Numer of labeled samples:25542   AUC:0.896
Numer of labeled samples:26898   AUC:0.908
Numer of labeled samples:26254   AUC:0.909
Numer of labeled samples:25932   AUC:0.910
Numer of labeled samples:27390   AUC:0.914
Numer of labeled samples:27950   AUC:0.914
Numer of labeled samples:25900   AUC:0.920
Numer of labeled samples:27530   AUC:0.922
Numer of labeled samples:27936   AUC:0.920
Numer of labeled samples:26989   AUC:0.924
Numer of labeled samples:26841   AUC:0.925
Numer of labeled samples:25885   AUC:0.932
Numer of labeled samples:27045   AUC:0.925
Numer of labeled samples:25139   AUC:0.930
Numer of labeled samples:26262   AUC:0.923
Numer of labeled samples:24713   AUC:0.930
Numer of labeled samples:25135   AUC:0.933
Numer of labeled samples:26577   AUC:0.923
Numer of labeled samples:24986   AUC:0.932
Numer of labeled samples:23652   AUC:0.933
Numer of labeled samples:23918   AUC:0.925
Numer of labeled samples:24575   AUC:0.929
Numer of labeled samples:21966   AUC:0.936
Numer of labeled samples:23522   AUC:0.931
Numer of labeled samples:23348   AUC:0.932
Numer of labeled samples:22848   AUC:0.940
Numer of labeled samples:23981   AUC:0.931
Numer of labeled samples:22651   AUC:0.938
Numer of labeled samples:22269   AUC:0.943
Numer of labeled samples:21652   AUC:0.952
Numer of labeled samples:22050   AUC:0.936
Numer of labeled samples:20846   AUC:0.949
Numer of labeled samples:20923   AUC:0.948
Numer of labeled samples:20947   AUC:0.950
Numer of labeled samples:20252   AUC:0.952
Numer of labeled samples:20587   AUC:0.951
Numer of labeled samples:20844   AUC:0.944
Numer of labeled samples:20135   AUC:0.949
Numer of labeled samples:19938   AUC:0.954
Numer of labeled samples:20177   AUC:0.961
Numer of labeled samples:19353   AUC:0.957
Numer of labeled samples:19950   AUC:0.957
Numer of labeled samples:19799   AUC:0.959
Numer of labeled samples:19178   AUC:0.961
Numer of labeled samples:19418   AUC:0.960
Numer of labeled samples:19124   AUC:0.964
Numer of labeled samples:19140   AUC:0.962
Numer of labeled samples:18770   AUC:0.963
Numer of labeled samples:18502   AUC:0.968
Numer of labeled samples:19279   AUC:0.967
Numer of labeled samples:19393   AUC:0.962
Numer of labeled samples:20442   AUC:0.949
Numer of labeled samples:18747   AUC:0.966
Numer of labeled samples:18985   AUC:0.964
Numer of labeled samples:19756   AUC:0.957
Numer of labeled samples:19427   AUC:0.966
Numer of labeled samples:19069   AUC:0.964
Numer of labeled samples:19146   AUC:0.971
Numer of labeled samples:18476   AUC:0.967
Numer of labeled samples:18677   AUC:0.969
Numer of labeled samples:18950   AUC:0.975
Numer of labeled samples:18828   AUC:0.976
Numer of labeled samples:18605   AUC:0.972
Numer of labeled samples:18409   AUC:0.976
Numer of labeled samples:18400   AUC:0.976
Numer of labeled samples:17833   AUC:0.976
Numer of labeled samples:17736   AUC:0.976
Numer of labeled samples:15905   AUC:0.975
Numer of labeled samples:17731   AUC:0.978
Numer of labeled samples:17716   AUC:0.973
Numer of labeled samples:14682   AUC:0.974
Numer of labeled samples:14207   AUC:0.977
Numer of labeled samples:15030   AUC:0.978
Numer of labeled samples:14216   AUC:0.976
Numer of labeled samples:14245   AUC:0.977
Numer of labeled samples:13874   AUC:0.978
Numer of labeled samples:14002   AUC:0.973
Numer of labeled samples:13722   AUC:0.977
Numer of labeled samples:14035   AUC:0.976
Numer of labeled samples:13905   AUC:0.980
Numer of labeled samples:13834   AUC:0.980
Numer of labeled samples:13762   AUC:0.981
Numer of labeled samples:13855   AUC:0.979
Numer of labeled samples:13719   AUC:0.980
Numer of labeled samples:13936   AUC:0.977
Numer of labeled samples:13760   AUC:0.981
Numer of labeled samples:13620   AUC:0.977
Numer of labeled samples:13755   AUC:0.979
Numer of labeled samples:13711   AUC:0.980
Numer of labeled samples:13719   AUC:0.983
Numer of labeled samples:13711   AUC:0.979
Numer of labeled samples:13791   AUC:0.983
Numer of labeled samples:13854   AUC:0.981
Numer of labeled samples:13810   AUC:0.982
Numer of labeled samples:13697   AUC:0.982
Numer of labeled samples:13854   AUC:0.983
Numer of labeled samples:13659   AUC:0.980
Numer of labeled samples:13755   AUC:0.982
Numer of labeled samples:13664   AUC:0.982
Numer of labeled samples:13580   AUC:0.980
Numer of labeled samples:13588   AUC:0.983
Numer of labeled samples:13756   AUC:0.979
Numer of labeled samples:13628   AUC:0.982
Numer of labeled samples:13671   AUC:0.982
Numer of labeled samples:13650   AUC:0.982
Numer of labeled samples:13759   AUC:0.983
Numer of labeled samples:13578   AUC:0.983
Numer of labeled samples:13773   AUC:0.985
Numer of labeled samples:13735   AUC:0.984
Numer of labeled samples:13801   AUC:0.984
Numer of labeled samples:13667   AUC:0.984
Numer of labeled samples:13694   AUC:0.984
Numer of labeled samples:13616   AUC:0.985
Numer of labeled samples:13740   AUC:0.983
Numer of labeled samples:13730   AUC:0.984
Numer of labeled samples:13758   AUC:0.983
Numer of labeled samples:13720   AUC:0.984
Numer of labeled samples:13689   AUC:0.984
Numer of labeled samples:13700   AUC:0.983
Numer of labeled samples:13757   AUC:0.985
Numer of labeled samples:13587   AUC:0.985
Numer of labeled samples:13762   AUC:0.985
Numer of labeled samples:13633   AUC:0.984
Numer of labeled samples:13680   AUC:0.980
Numer of labeled samples:13931   AUC:0.987
Numer of labeled samples:13737   AUC:0.986
Numer of labeled samples:13727   AUC:0.983
Numer of labeled samples:13686   AUC:0.987
Numer of labeled samples:13643   AUC:0.984
Numer of labeled samples:13710   AUC:0.985
Numer of labeled samples:13713   AUC:0.986
Numer of labeled samples:13742   AUC:0.985
Numer of labeled samples:13675   AUC:0.985
Numer of labeled samples:13744   AUC:0.986
Numer of labeled samples:13762   AUC:0.984
Numer of labeled samples:13845   AUC:0.984
Numer of labeled samples:13746   AUC:0.985
Numer of labeled samples:13685   AUC:0.982
Numer of labeled samples:13813   AUC:0.983
Numer of labeled samples:13743   AUC:0.986
Numer of labeled samples:13650   AUC:0.983
Numer of labeled samples:13789   AUC:0.987
Numer of labeled samples:13684   AUC:0.984
Numer of labeled samples:13693   AUC:0.984
Numer of labeled samples:13890   AUC:0.985
Numer of labeled samples:13891   AUC:0.984
